model,nowcast_date,reference_date,group,age_group,location,confirm,holiday,mean,median,sd,mad,q2.5,q5,q20,q25,q50,q75,q80,q90,q95,q97.5,q10,report_date
"Reference: Fixed, Report: Fixed",2022-02-08,2022-01-06,1,00+,DE,4967,FALSE,4987.632,4987,5.47554260173288,5.9304,4978,4979,4983,4984,4987,4991,4992,4995,4997,5000,4981,2022-02-08
"Reference: Fixed, Report: Day of week",2022-02-08,2022-01-06,1,00+,DE,4967,FALSE,4976.772,4977,3.4734778715665,2.9652,4971,4972,4974,4974,4977,4979,4980,4981,4983,4984,4972,2022-02-08
"Reference: Age, Report: Day of week",2022-02-08,2022-01-06,1,00+,DE,4967,FALSE,4978.1035,4978,3.53185854223824,2.9652,4972,4973,4975,4976,4978,4980,4981,4983,4984,4986,4974,2022-02-08
"Reference: Age and week, Report: Day of week",2022-02-08,2022-01-06,1,00+,DE,4967,FALSE,4977.878,4978,3.68400623655491,2.9652,4971,4972,4975,4975,4978,4980,4981,4983,4984,4985,4973,2022-02-08
"Reference: Age and week by age, Report: Day of week",2022-02-08,2022-01-06,1,00+,DE,4967,FALSE,4979.248,4979,3.91090060878385,4.4478,4972,4973,4976,4976,4979,4982,4983,4984,4986,4987,4974,2022-02-08
"Independent by age, Reference: Week, Report: Day of week",2022-02-08,2022-01-06,1,00+,DE,4967,FALSE,4976.8985,4977,3.59550574756743,2.9652,4971,4972,4974,4974,4977,4979,4980,4982,4983,4985,4973,2022-02-08
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-02-08,2022-01-06,1,00+,DE,4967,FALSE,4977.785,4978,3.84475826067667,4.4478,4971,4972,4975,4975,4978,4980,4981,4983,4984,4986,4973,2022-02-08
"Reference: Fixed, Report: Fixed",2022-02-08,2022-01-07,1,00+,DE,4736,FALSE,4764.1235,4764,6.33516494713861,5.9304,4753,4754,4759,4760,4764,4768,4769,4773,4775,4777,4756,2022-02-08
"Reference: Fixed, Report: Day of week",2022-02-08,2022-01-07,1,00+,DE,4736,FALSE,4749.817,4750,4.11132125736248,4.4478,4743,4744,4746,4747,4750,4752,4753,4755,4757,4759,4745,2022-02-08
"Reference: Age, Report: Day of week",2022-02-08,2022-01-07,1,00+,DE,4736,FALSE,4751.49,4751,4.36364763819848,4.4478,4744,4745,4748,4748,4751,4754,4755,4757,4759,4761,4746,2022-02-08
"Reference: Age and week, Report: Day of week",2022-02-08,2022-01-07,1,00+,DE,4736,FALSE,4751.3765,4751,4.49052671354737,4.4478,4743,4744,4747,4748,4751,4754,4755,4757,4759,4761,4746,2022-02-08
"Reference: Age and week by age, Report: Day of week",2022-02-08,2022-01-07,1,00+,DE,4736,FALSE,4752.893,4753,4.70346811471632,4.4478,4745,4746,4749,4749,4753,4756,4757,4759,4761,4763,4747,2022-02-08
"Independent by age, Reference: Week, Report: Day of week",2022-02-08,2022-01-07,1,00+,DE,4736,FALSE,4750.006,4750,4.44227767203467,4.4478,4742,4743,4746,4747,4750,4753,4753,4756,4758,4760,4745,2022-02-08
